movieId,title,genres
2570,Parvarish (1958),Drama|Family            
2571,Detective (1958),Mystery
2574,Post Box 999 (1958),Action|Mystery            
2577,Savera (1958),Crime|Drama            
2579,Lajwanti (1958),Drama|Family            
2585,Son of Sinbad (1958),Adventure
2586,Khazanchi (1958),Romance
2588,Phir Subha Hogi (1958),Drama|Romance            
2589,Samrat Chandragupt (1958),Adventure|Drama|History            
2591,Sone Ki Chidiya (1958),Drama|Romance            
2593,Sitaron Se Aage (1958),Drama|Musical            
2594,Maya Bazaar (1958),Adventure|Fantasy            
2595,Sahara (1958),Drama|Family            
2600,Devar Bhabhi (1958),Drama
2604,Adalat (1958),Drama|Musical|Romance            
2605,Kala Pani (1958),Crime|Musical|Romance            
2609,12 O'Clock (1958),Crime|Drama|Mystery            
2613,Aangan (1959),Music|Romance            
2614,Rani Rupmati (1959),Action|Adventure            
2616,Goonj Uthi Shehnai (1959),Musical|Romance            
2625,Shararat (1959),Comedy
2627,Raj Tilak (1959),Adventure
2628,Kaagaz Ke Phool (1959),Romance
2629,Do Ustad (1959),Action|Crime|Drama            
2630,Bedard Zamana Kya Jane (1959),Crime|Drama|Family            
2632,Main Nashe Men Hoon (1959),Drama|Family|Comedy            
2633,Love Marriage (1959),Romance
2635,Maa Ke Aansoo (1959),Drama|Family            
2637,Dil Deke Dekho (1959),Musical|Romance            
2639,Barkha (1959),Romance
2641,Fashionable Wife (1959),Drama|Family            
2642,Anari (1959),Comedy|Drama|Musical            
2645,Kali Topi Lal Rumal (1959),Musical|Romance            
2646,Guest House (1959),Mystery
2647,Duniya Na Mane (1959),Drama|Family|Romance            
2648,Chhoti Bahen (1959),Drama
2651,Chand (1959),Drama
2652,Raat Ke Rahi (1959),Action|Crime|Drama            
2653,Ardhangini (1959),Family|Romance            
2656,Paigham (1959),Comedy|Drama            
2658,Ujala (1959),Crime|Drama|Romance            
2661,Char Dil Char Rahen (1959),Drama
2664,Do Behnen (1959),Drama|Romance            
2666,Kavi Kalidas (1959),Drama|Musical            
2668,Satta Bazaar (1959),Drama
2669,Kangan (1959),Mystery
2676,Bhai-Bahen (1959),Drama|Family            
2678,Forty Days (1959),Action
2684,Insaan Jaag Utha (1959),Drama|Family|Musical            
2686,Chirag Kahan Roshni Kahan (1959),Drama|Family            
2688,Jawani Ki Hawa (1959),Drama
2690,Chacha Zindabad (1959),Comedy
2692,Navrang (1959),Drama|Musical|Romance            
2694,Samarat Prithviraj Chauvan (1959),Adventure|History|Thriller            
2696,Kanhaiya (1959),Romance|Drama|Family            
2699,Madari (1959),Action|Fantasy            
2700,Dhool Ka Phool (1959),Drama
2706,Black Cat (1959),Action|Thriller|Mystery            
2707,Heera Moti (1959),Drama
2711,Didi (1959),Drama
2714,Kal Hamara Hai (1959),Drama
